Genes	Regulator	Regulator Logic Rules	Coefficients	Basal Rate	Stimulated Rate	Regulator Protein	Regulatory Gene	Metabolite	Protein
rbsD	RbsR(-)[AND]CRP(+)	(RbsR&CRP)	0.08(-)0.008(+)	0.0133	0.16(-)0.16(+)				
rbsK	RbsR(-)[AND]CRP(+)	(RbsR&CRP)	0.08(-)0.008(+)	0.0133	0.16(-)0.16(+)				
rbsR	RbsR(-)[AND]CRP(+)	(RbsR&CRP)	0.08(-)0.008(+)	0.0133	0.16(-)0.16(+)				
rpiB	RpiR(-)	(RpiR)	0.08(-)	0.0133	0.16(-)				
rpiR	RpiR(-)	(RpiR)	0.08(-)	0.0133	0.16(-)				
sdhA	ArcA(-)[OR]CRP(+)[OR]FIS(-)[OR]FNR(-)	(ArcA|CRP|FIS|FNR)	0.08(-)0.008(+)0.08(-)0.08(-)	0.0133	0.16(-)0.16(+)0.16(-)0.16(-)				
sdhB	ArcA(-)[OR]CRP(+)[OR]FIS(-)[OR]FNR(-)	(ArcA|CRP|FIS|FNR)	0.08(-)0.008(+)0.08(-)0.08(-)	0.0133	0.16(-)0.16(+)0.16(-)0.16(-)				
sdhC	ArcA(-)[OR]CRP(+)[OR]FIS(-)[OR]FNR(-)	(ArcA|CRP|FIS|FNR)	0.08(-)0.008(+)0.08(-)0.08(-)	0.0133	0.16(-)0.16(+)0.16(-)0.16(-)				
sdhD	ArcA(-)[OR]CRP(+)[OR]FIS(-)[OR]FNR(-)	(ArcA|CRP|FIS|FNR)	0.08(-)0.008(+)0.08(-)0.08(-)	0.0133	0.16(-)0.16(+)0.16(-)0.16(-)				
sucA	ArcA(-)[OR]CRP(+)[OR]FIS(-)[OR]FNR(-)	(ArcA|CRP|FIS|FNR)	0.08(-)0.008(+)0.08(-)0.08(-)	0.0133	0.16(-)0.16(+)0.16(-)0.16(-)				
sucB	ArcA(-)[OR]CRP(+)[OR]FIS(-)[OR]FNR(-)	(ArcA|CRP|FIS|FNR)	0.08(-)0.008(+)0.08(-)0.08(-)	0.0133	0.16(-)0.16(+)0.16(-)0.16(-)				
